Date,Open,High,Low,Close,Volume,Adj Close
4/13/2017,0.25,0.25,0.25,0.25,500,0.25
4/12/2017,0.26,0.26,0.26,0.26,4500,0.26
4/11/2017,0.29,0.29,0.29,0.29,1700,0.29
4/10/2017,0.28995,0.29,0.28995,0.29,3400,0.29
4/7/2017,0.25,0.318,0.24,0.2899,10800,0.2899
4/6/2017,0.24,0.25,0.24,0.25,9500,0.25
4/5/2017,0.2575,0.2575,0.235,0.24,11000,0.24
4/4/2017,0.2149,0.2415,0.21,0.2415,47500,0.2415
4/3/2017,0.23,0.25,0.2105,0.2283,13900,0.2283
3/31/2017,0.22,0.2337,0.22,0.2337,8400,0.2337
3/30/2017,0.22,0.25,0.2154,0.2154,38800,0.2154
3/29/2017,0.2257,0.2257,0.22209,0.2257,2000,0.2257
3/28/2017,0.22,0.22,0.205,0.21,13000,0.21
3/27/2017,0.21,0.2211,0.21,0.21,11500,0.21
3/24/2017,0.23,0.2312,0.195,0.2,36800,0.2
3/23/2017,0.21,0.2379,0.201,0.2379,16000,0.2379
3/22/2017,0.2369,0.2369,0.23148,0.235,25200,0.235
3/21/2017,0.2395,0.2395,0.2,0.201,8100,0.201
3/20/2017,0.22,0.22,0.22,0.22,0,0.22
3/17/2017,0.2549,0.2549,0.21,0.22,20600,0.22
3/16/2017,0.32,0.32,0.21,0.2998,15200,0.2998
3/15/2017,0.26,0.26,0.25,0.25,14000,0.25
3/14/2017,0.24,0.28,0.2377,0.28,11400,0.28
